"OWNER";"TABLE_NAME";"COLUMN_ID";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH";"NULLABLE";"DATA_SCALE";"AVG_COL_LEN";"NUM_DISTINCT";"NUM_NULLS";"DENSITY";"DEFAULT_ON_NULL";"NUM_BUCKETS";"COMMENTS";"CONSTRAINTS"
"CADASTRO";"ADVOGADO";1;"SEQ_ADVOGADO";"NUMBER";22;"N";0;5;30213;0;0,0000330983351537418;"NO";1;"Sequencial do Advogado";"PK_ADVOGADO (PRIMARY KEY, ENABLED); SYS_C00105379 (CHECK, ENABLED)"
"CADASTRO";"ADVOGADO";2;"NUM_INSCRICAO_OAB";"VARCHAR2";10;"Y";;6;27978;94;0,000036;"NO";254;"Numero da inscrição da OAB";" (, )"
"CADASTRO";"ADVOGADO";3;"NOM_ADVOGADO";"VARCHAR2";60;"N";;28;29448;0;0,000034;"NO";254;"Nome do Advogado
";"SYS_C00105381 (CHECK, ENABLED)"
"CADASTRO";"ADVOGADO";4;"COD_UF";"NUMBER";22;"N";0;3;27;0;0,0000165491675768709;"NO";27;"Codigo da UF do advogado";"FK_ADVOGADO_R_UF (FOREIGN KEY, ENABLED); SYS_C00105382 (CHECK, ENABLED)"
"CADASTRO";"ADVOGADO";5;"NUM_CPF_ADVOGADO";"NUMBER";22;"Y";0;7;25588;3779;0,000039080819133969;"NO";1;"Numero do CPF do advogado";" (, )"
"CADASTRO";"ADVOGADO";6;"NUM_TELEFONE";"VARCHAR2";12;"Y";;7;14636;13969;0,0000683246788740093;"NO";1;"Numero do telefone do Advogado";" (, )"
"CADASTRO";"ADVOGADO";7;"NOM_EMAIL";"VARCHAR2";150;"Y";;15;15431;14189;0,0000648046140885231;"NO";1;"E-mail do Advogado";" (, )"
"CADASTRO";"ADVOGADO";8;"NUM_CELULAR";"VARCHAR2";12;"Y";;7;14494;15145;0,0000689940665102801;"NO";1;"Numero do telefone celular do advogado";" (, )"
"CADASTRO";"ADVOGADO";9;"SEQ_USUARIO";"NUMBER";22;"Y";0;3;170;17177;0,00588235294117647;"NO";1;"Seqüencial do usuário";"FK_ADVOGADO_R_USUARIO (FOREIGN KEY, ENABLED)"
"CADASTRO";"ADVOGADO";10;"STA_DEFENSOR_PUBLICO";"VARCHAR2";1;"Y";;2;2;0;0,0000165491675768709;"NO";2;"Status que indica se o advogado é Defensor Publico
S- é defensor público
N- não é defensor público";"CKC_STA_DEFENSOR_PUBL_ADVOGADO (CHECK, ENABLED)"
"CADASTRO";"ADVOGADO";11;"DAT_MOVIMENTO";"DATE";7;"Y";;5;13035;16885;0,0000767165324127349;"NO";1;"Data da movimentação";" (, )"
"CADASTRO";"ADVOGADO_20100512";1;"SEQ_ADVOGADO";"NUMBER";22;"N";0;5;14768;0;0,0000677139761646804;"NO";1;"";"SYS_C00105384 (CHECK, ENABLED)"
